key	source	name	k10	k25	k50	k100	k200	provenance
go:GO:1904749	go	regulation of protein localization to nucleolus	6	16	33	69	144	
go:GO:1904776	go	regulation of protein localization to cell cortex	6	16	33	61	126	
go:GO:1904823	go	purine nucleobase transmembrane transport	6	16	35	76	161	
go:GO:1904861	go	excitatory synapse assembly	6	17	40	85	178	
go:GO:1904978	go	regulation of endosome organization	6	16	33	69	144	
go:GO:1904995	go	negative regulation of leukocyte adhesion to vascular endothelial cell	6	14	23	37	69	
go:GO:1904999	go	positive regulation of leukocyte adhesion to arterial endothelial cell	6	14	23	37	69	
go:GO:1905203	go	regulation of connective tissue replacement	6	14	23	37	69	
go:GO:1905207	go	regulation of cardiocyte differentiation	6	15	27	45	89	
go:GO:1905232	go	cellular response to L-glutamate	6	17	40	85	178	
go:GO:1905330	go	regulation of morphogenesis of an epithelium	6	14	23	38	75	
go:GO:1905335	go	regulation of aggrephagy	6	16	31	52	109	
go:GO:1905477	go	positive regulation of protein localization to membrane	6	16	31	51	103	
go:GO:1905503	go	regulation of motile cilium assembly	6	16	33	60	125	
go:GO:1905563	go	negative regulation of vascular endothelial cell proliferation	6	15	26	43	86	
go:GO:1905603	go	regulation of blood-brain barrier permeability	6	17	40	84	174	
go:GO:1905634	go	regulation of protein localization to chromatin	6	16	33	69	144	
go:GO:1905710	go	positive regulation of membrane permeability	6	16	35	76	161	
go:GO:1905821	go	positive regulation of chromosome condensation	6	16	33	61	126	
go:GO:1905868	go	regulation of 3'-UTR-mediated mRNA stabilization	6	16	33	69	142	
go:GO:1905870	go	positive regulation of 3'-UTR-mediated mRNA stabilization	6	16	33	69	142	
go:GO:1905898	go	positive regulation of response to endoplasmic reticulum stress	6	16	33	64	133	
go:GO:1905907	go	negative regulation of amyloid fibril formation	6	15	26	43	83	
go:GO:1905952	go	regulation of lipid localization	2	4	7	10	20	
go:GO:1990048	go	anterograde neuronal dense core vesicle transport	6	16	31	52	106	
go:GO:1990138	go	neuron projection extension	6	17	40	85	179	
go:GO:1990144	go	intrinsic apoptotic signaling pathway in response to hypoxia	6	16	33	56	115	
go:GO:1990418	go	response to insulin-like growth factor stimulus	6	15	26	43	84	
go:GO:1990573	go	potassium ion import across plasma membrane	6	20	44	91	190	
go:GO:1990849	go	vacuolar localization	6	16	31	52	105	
go:GO:1990926	go	short-term synaptic potentiation	6	17	40	85	177	
go:GO:1990962	go	xenobiotic transport across blood-brain barrier	6	17	39	83	173	
go:GO:2000008	go	regulation of protein localization to cell surface	6	16	31	51	103	
go:GO:2000047	go	regulation of cell-cell adhesion mediated by cadherin	6	14	23	37	69	
go:GO:2000048	go	negative regulation of cell-cell adhesion mediated by cadherin	6	14	23	37	69	
go:GO:2000105	go	positive regulation of DNA-templated DNA replication	6	16	33	69	140	
go:GO:2000106	go	regulation of leukocyte apoptotic process	6	10	15	24	48	
go:GO:2000209	go	regulation of anoikis	6	14	23	37	69	
go:GO:2000242	go	negative regulation of reproductive process	6	15	26	43	85	
go:GO:2000319	go	regulation of T-helper 17 cell differentiation	6	10	15	24	48	
go:GO:2000328	go	regulation of T-helper 17 cell lineage commitment	6	10	15	24	48	
go:GO:2000340	go	positive regulation of chemokine (C-X-C motif) ligand 1 production	6	10	15	24	48	
go:GO:2000378	go	negative regulation of reactive oxygen species metabolic process	6	16	34	73	149	
go:GO:2000394	go	positive regulation of lamellipodium morphogenesis	6	14	23	37	67	
go:GO:2000403	go	positive regulation of lymphocyte migration	6	10	15	24	48	
go:GO:2000404	go	regulation of T cell migration	6	10	15	24	48	
go:GO:2000586	go	regulation of platelet-derived growth factor receptor-beta signaling pathway	6	16	33	59	122	
go:GO:2000625	go	regulation of miRNA catabolic process	6	16	33	68	139	
go:GO:2000669	go	negative regulation of dendritic cell apoptotic process	6	10	15	24	46	
go:GO:2000675	go	negative regulation of type B pancreatic cell apoptotic process	6	16	32	53	110	
go:GO:2000766	go	negative regulation of cytoplasmic translation	6	15	26	43	85	
go:GO:2000772	go	regulation of cellular senescence	6	16	33	61	127	
go:GO:2000826	go	regulation of heart morphogenesis	6	15	27	45	89	
go:GO:2000831	go	regulation of steroid hormone secretion	6	15	26	43	84	
go:GO:2001024	go	negative regulation of response to drug	6	15	26	43	85	
go:GO:2001186	go	negative regulation of CD8-positive, alpha-beta T cell activation	6	10	15	24	46	
go:GO:2001200	go	positive regulation of dendritic cell differentiation	6	10	15	24	48	
go:GO:2001234	go	negative regulation of apoptotic signaling pathway	6	15	26	43	85	
go:GO:2001238	go	positive regulation of extrinsic apoptotic signaling pathway	6	16	33	56	115	
go:GO:2001245	go	regulation of phosphatidylcholine biosynthetic process	2	4	7	11	23	
go:GO:2001252	go	positive regulation of chromosome organization	6	16	33	61	126	
hallmark:HALLMARK_ADIPOGENESIS	hallmark	HALLMARK_ADIPOGENESIS	2	4	7	10	20	
hallmark:HALLMARK_ALLOGRAFT_REJECTION	hallmark	HALLMARK_ALLOGRAFT_REJECTION	6	10	15	23	43	
hallmark:HALLMARK_ANDROGEN_RESPONSE	hallmark	HALLMARK_ANDROGEN_RESPONSE	6	11	18	30	56	
hallmark:HALLMARK_ANGIOGENESIS	hallmark	HALLMARK_ANGIOGENESIS	6	14	23	37	72	
hallmark:HALLMARK_APICAL_JUNCTION	hallmark	HALLMARK_APICAL_JUNCTION	6	14	23	37	69	
hallmark:HALLMARK_APICAL_SURFACE	hallmark	HALLMARK_APICAL_SURFACE	6	16	31	49	97	
hallmark:HALLMARK_APOPTOSIS	hallmark	HALLMARK_APOPTOSIS	6	16	33	56	115	
hallmark:HALLMARK_BILE_ACID_METABOLISM	hallmark	HALLMARK_BILE_ACID_METABOLISM	2	4	7	10	19	
hallmark:HALLMARK_CHOLESTEROL_HOMEOSTASIS	hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	2	4	7	10	19	
hallmark:HALLMARK_COAGULATION	hallmark	HALLMARK_COAGULATION	8	23	47	96	196	
hallmark:HALLMARK_COMPLEMENT	hallmark	HALLMARK_COMPLEMENT	6	10	15	24	45	
hallmark:HALLMARK_DNA_REPAIR	hallmark	HALLMARK_DNA_REPAIR	6	16	33	69	141	
hallmark:HALLMARK_E2F_TARGETS	hallmark	HALLMARK_E2F_TARGETS	6	16	33	67	137	
hallmark:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	6	14	23	38	75	
hallmark:HALLMARK_ESTROGEN_RESPONSE_EARLY	hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	6	12	21	34	62	
hallmark:HALLMARK_ESTROGEN_RESPONSE_LATE	hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE	6	12	21	34	62	
hallmark:HALLMARK_FATTY_ACID_METABOLISM	hallmark	HALLMARK_FATTY_ACID_METABOLISM	2	4	7	11	26	
hallmark:HALLMARK_G2M_CHECKPOINT	hallmark	HALLMARK_G2M_CHECKPOINT	6	16	33	61	126	
hallmark:HALLMARK_GLYCOLYSIS	hallmark	HALLMARK_GLYCOLYSIS	6	16	35	74	152	
hallmark:HALLMARK_HEDGEHOG_SIGNALING	hallmark	HALLMARK_HEDGEHOG_SIGNALING	6	17	40	84	176	
hallmark:HALLMARK_HEME_METABOLISM	hallmark	HALLMARK_HEME_METABOLISM	6	16	35	74	153	
hallmark:HALLMARK_HYPOXIA	hallmark	HALLMARK_HYPOXIA	6	16	35	74	153	
hallmark:HALLMARK_IL2_STAT5_SIGNALING	hallmark	HALLMARK_IL2_STAT5_SIGNALING	6	10	15	24	48	
hallmark:HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING	6	10	15	24	48	
hallmark:HALLMARK_INFLAMMATORY_RESPONSE	hallmark	HALLMARK_INFLAMMATORY_RESPONSE	6	10	15	24	44	
hallmark:HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE	6	10	15	24	48	
hallmark:HALLMARK_INTERFERON_GAMMA_RESPONSE	hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	6	10	15	24	48	
hallmark:HALLMARK_KRAS_SIGNALING_DN	hallmark	HALLMARK_KRAS_SIGNALING_DN	6	16	33	59	124	
hallmark:HALLMARK_KRAS_SIGNALING_UP	hallmark	HALLMARK_KRAS_SIGNALING_UP	6	16	33	59	124	
hallmark:HALLMARK_MITOTIC_SPINDLE	hallmark	HALLMARK_MITOTIC_SPINDLE	6	16	33	61	126	
